date,gamma,elecro,lon,L
2023-11-0105:33:00.000,10.919667,N/A,223.39839,2.4569199
2023-11-0105:34:00.000,23.344667,N/A,222.03050,2.8292100
2023-11-0105:35:00.000,450.59367,N/A,220.47836,3.3131700
2023-11-0105:36:00.000,665.47400,N/A,218.67955,3.9544201
2023-11-0105:37:00.000,427.22500,0.000000e+0,216.54178,4.8219700
2023-11-0105:38:00.000,112.85000,N/A,213.92307,6.0233998
2023-11-0105:39:00.000,4.4866667,N/A,210.59480,7.7157602
2023-11-0105:40:00.000,3.7406667,N/A,206.16908,10.099660
2023-11-0105:41:00.000,4.0236667,N/A,199.95049,13.362670
2023-11-0105:42:00.000,2.2057857,N/A,190.63872,17.428230
2023-11-0105:43:00.000,1.9640000,N/A,175.89844,21.328659
2023-11-0105:44:00.000,2.0700000,N/A,153.06648,23.085751
2023-11-0105:45:00.000,2.5706667,N/A,125.06402,21.380251
2023-11-0105:46:00.000,2.8343333,N/A,101.90369,17.533070
2023-11-0105:47:00.000,5.0966667,N/A,86.885536,13.413080
2023-11-0105:48:00.000,29.855000,N/A,77.411087,10.043790
2023-11-0105:49:00.000,237.06033,N/A,71.099953,7.5440202
2023-11-0105:50:00.000,467.33233,0.000000e+0,66.619003,5.7955499
2023-11-0105:51:00.000,492.99467,N/A,63.255772,4.5837998
2023-11-0105:52:00.000,36.781333,N/A,60.613720,3.7193401
2023-11-0105:53:00.000,2.2220000,N/A,58.459610,3.0834301
2023-11-0105:54:00.000,1.4343333,N/A,56.648918,2.6053700
2023-11-0105:55:00.000,1.3666667,N/A,55.087811,2.2404399
2023-11-0105:56:00.000,1.2150000,N/A,53.712940,1.9582700
2023-11-0105:57:00.000,1.1223333,N/A,52.480042,1.7372600
2023-11-0105:58:00.000,1.0182667,N/A,51.357189,1.5631000
2023-11-0105:59:00.000,N/A,N/A,50.320789,1.4245600
2023-11-0106:00:00.000,N/A,N/A,49.352951,1.3143700
2023-11-0106:01:00.000,N/A,N/A,48.439770,1.2274100
2023-11-0106:02:00.000,N/A,N/A,47.570229,1.1593601
2023-11-0106:03:00.000,N/A,N/A,46.735401,1.1078800
2023-11-0106:04:00.000,N/A,N/A,45.927860,1.0710599
2023-11-0106:05:00.000,N/A,N/A,45.141289,1.0470001
2023-11-0106:06:00.000,N/A,N/A,44.370220,1.0358000
